kinase_ID,entry,synonyms,kinase_group,kinase_family
AAK1,Q2M2I8,"AAK1, AP2-associated protein kinase 1",Other,NAK
ABL1,P00519,"ABL, ABL1, JTK7",TK,Abl
ABL2,P42684,"ABL2, ABLL, ARG, Abelson tyrosine-protein kinase 2",TK,Abl
TNK2,Q07912,"ACK1, Activated CDC42 kinase 1, TNK2",TK,Ack
ACVR2A,P27037,"ACVR2, ACVR2A, AVR2A, Activin receptor type-2A, ACTRIIA",TKL,STKR
ACVR2B,Q13705,"ACVR2B, AVR2B, Activin receptor type-2B, ACTRIIB",TKL,STKR
ADCK1,Q86TW2,"ADCK1, AarF domain-containing protein kinase 1",Atypical,ABC1
ADCK2,Q7Z695,"AARF, ADCK2, aarF domain-containing protein kinase 2",Atypical,ABC1
COQ8A,Q8NI60,"ADCK3, Atypical kinase COQ8A, CABC1, COQ8A",Atypical,ABC1
COQ8B,Q96D53,"ADCK4, Atypical kinase COQ8B, COQ8B",Atypical,ABC1
ADCK5,Q3MIX3,"ADCK5, aarF domain-containing protein kinase 5",Atypical,ABC1
AKT1,P31749,"AKT1, PKB, RAC, PKBa",AGC,Akt
AKT2,P31751,"AKT2, RAC-beta serine/threonine-protein kinase, PKBb",AGC,Akt
AKT3,Q9Y243,"AKT3, PKBG, RAC-gamma serine/threonine-protein kinase",AGC,Akt
ALK,Q9UM73,ALK,TK,ALK
ACVRL1,P37023,"ACVL1, ACVRL1, ACVRLK1, ALK1, Activin receptor type-1-like, Serine/threonine-protein kinase receptor R3, SKR3",TKL,STKR
ACVR1,Q04771,"ACVR1, ACVRLK2, Activin receptor type-1, SKR1",TKL,STKR
ACVR1B,P36896,"ACV1B, ACVR1B, ACVRLK4, ALK4, Activin receptor type-1B, SKR2",TKL,STKR
ACVR1C,Q8NER5,"ACV1C, ACVR1C, ALK7, Activin receptor type-1C",TKL,STKR
ALPK3,Q96L96,"ALPK3, Alpha-protein kinase 3, MAK",Atypical,Alpha
ALPK2,Q86TB3,"ALPK2, Alpha-protein kinase 2, HAK",Atypical,Alpha
ALPK1,Q96QP1,"ALPK1, Alpha-protein kinase 1, LAK",Atypical,Alpha
PRKAA1,Q13131,"5'-AMP-activated protein kinase catalytic subunit alpha-1, AAPK1, AMPK1, PRKAA1",CAMK,CAMKL
PRKAA2,P54646,"5'-AMP-activated protein kinase catalytic subunit alpha-2, AAPK2, AMPK, AMPK2, PRKAA2",CAMK,CAMKL
RIPK4,P57078,"ANKRD3, DIK, RIPK4, Receptor-interacting serine/threonine-protein kinase 4",TKL,RIPK
NPR1,P16066,"ANPRA, Atrial natriuretic peptide receptor 1, NPR1",RGC,RGC
NPR2,P20594,"ANPRB, Atrial natriuretic peptide receptor 2, NPR2",RGC,RGC
ARAF,P10398,"ARAF, ARAF1, PKS, PKS2, A-Raf",TKL,RAF
ATM,Q13315,ATM,Atypical,PIKK
ATR,Q13535,"ATR, FRP1",Atypical,PIKK
AURKA,O14965,"AIK, AIRK1, ARK1, AURA, AURKA, AYK1, Aurora kinase A, BTAK, IAK1, STK15, STK6, Aurora A",Other,Aur
AURKB,Q96GD4,"AIK2, AIM1, AIRK2, ARK2, AURKB, Aurora kinase B, STK12, STK5, Aurora B",Other,Aur
AURKC,Q9UQB9,"AIE2, AIK3, AIRK3, ARK3, AURKC, Aurora kinase C, STK13, Aurora C",Other,Aur
AXL,P30530,"AXL, UFO",TK,Axl
GRK2,P25098,"ADRBK1, ARBK1, BARK, BARK1, Beta-adrenergic receptor kinase 1, GRK2",AGC,GRK
GRK3,P35626,"ADRBK2, ARBK2, BARK2, Beta-adrenergic receptor kinase 2, G protein-coupled receptor kinase 3, GRK3",AGC,GRK
BCKDK,O14874,"BCKD, BCKDK, Branched-chain alpha-ketoacid dehydrogenase kinase, [3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase",Atypical,PDHK
BMP2K,Q9NSY1,"BIKE, BMP-2-inducible protein kinase, BMP2K",Other,NAK
BLK,P51451,BLK,TK,Src
BMPR1A,P36894,"ACVRLK3, ALK3, BMPR1A, BMR1A, Bone morphogenetic protein receptor type-1A",TKL,STKR
BMPR1B,O00238,"BMPR1B, BMR1B, Bone morphogenetic protein receptor type-1B",TKL,STKR
BMPR2,Q13873,"BMPR2, Bone morphogenetic protein receptor type-2, PPH1",TKL,STKR
BMX,P51813,BMX,TK,Tec
BRAF,P15056,"BRAF, BRAF1, RAFB1, B-raf",TKL,RAF
BRD2,P25440,"BRD2, Bromodomain-containing protein 2, RING3",Atypical,BRD
BRD3,Q15059,"BRD3, Bromodomain-containing protein 3, RING3L",Atypical,BRD
BRD4,O60885,"BRD4, Bromodomain-containing protein 4, HUNK1",Atypical,BRD
BRDT,Q58F21,"BRDT, Bromodomain testis-specific protein",Atypical,BRD
PTK6,Q13882,"BRK, PTK6, Protein-tyrosine kinase 6",TK,Src
BRSK1,Q8TDC3,"BRSK1, SAD1, SADB",CAMK,CAMKL
BRSK2,Q8IWQ3,"BRSK2, HUSSY-12, PEN11B, SADA, STK29",CAMK,CAMKL
BTK,Q06187,"AGMX1, ATK, BPK, BTK",TK,Tec
BUB1,O43683,"BUB1, BUB1L, BUB1A",Other,BUB
BUB1B,O60566,"BUB1B, BUBR1, MAD3L, SSK1",Other,BUB
CAMK1,Q14012,"CAMK1, Calcium/calmodulin-dependent protein kinase type 1, KCC1A, CAMK1a",CAMK,CAMK1
PNCK,Q6P2M8,"Calcium/calmodulin-dependent protein kinase type 1B, KCC1B, PNCK, CAMK1b",CAMK,CAMK1
CAMK1D,Q8IU85,"CAMK1D, CAMKID, Calcium/calmodulin-dependent protein kinase type 1D, KCC1D",CAMK,CAMK1
CAMK1G,Q96NX5,"CAMK1G, CLICK3, Calcium/calmodulin-dependent protein kinase type 1G, KCC1G, VWS1",CAMK,CAMK1
CAMK2A,Q9UQM7,"CAMK2A, CAMKA, Calcium/calmodulin-dependent protein kinase type II subunit alpha, KCC2A",CAMK,CAMK2
CAMK2B,Q13554,"CAM2, CAMK2, CAMK2B, CAMKB, Calcium/calmodulin-dependent protein kinase type II subunit beta, KCC2B",CAMK,CAMK2
CAMK2D,Q13557,"CAMK2D, CAMKD, Calcium/calmodulin-dependent protein kinase type II subunit delta, KCC2D",CAMK,CAMK2
CAMK2G,Q13555,"CAMK-II, CAMK2G, CAMKG, Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, Calcium/calmodulin-dependent protein kinase type II subunit gamma, KCC2G",CAMK,CAMK2
CAMK4,Q16566,"CAMK-GR, CAMK4, CAMKIV, Calcium/calmodulin-dependent protein kinase type IV, KCC4",CAMK,CAMK1
CAMKK1,Q8N5S9,"CAMKK1, CAMKKA, Calcium/calmodulin-dependent protein kinase kinase 1, KKCC1",Other,CAMKK
CAMKK2,Q96RR4,"CAMKK2, CAMKKB, Calcium/calmodulin-dependent protein kinase kinase 2, KIAA0787, KKCC2",Other,CAMKK
MYLK3,Q32MK0,"MYLK3, Myosin light chain kinase 3",CAMK,MLCK
CASK,O14936,"CASK, CSKP, LIN2",CAMK,CASK
PTK7,Q13308,"CCK4, Inactive tyrosine-protein kinase 7, PTK7",TK,CCK4
CDK20,Q8IZL9,"CCRK, CDCH, CDK20, Cyclin-dependent kinase 20",CMGC,CDK
CDK1,P06493,"CDC2, CDC28A, CDK1, CDKN1, Cyclin-dependent kinase 1, P34CDC2",CMGC,CDK
CDC7,O00311,"CDC7, CDC7L1, Cell division cycle 7-related protein kinase",Other,CDC7
CDK10,Q15131,"CDK10, Cyclin-dependent kinase 10",CMGC,CDK
CDK19,Q9BWU1,"CDC2L6, CDK19, Cyclin-dependent kinase 19",CMGC,CDK
CDK2,P24941,"CDK2, CDKN2, Cyclin-dependent kinase 2",CMGC,CDK
CDK3,Q00526,"CDK3, CDKN3, Cyclin-dependent kinase 3",CMGC,CDK
CDK4,P11802,"CDK4, Cyclin-dependent kinase 4",CMGC,CDK
CDK5,Q00535,"CDK5, CDKN5, Cyclin-dependent kinase 5, PSSALRE",CMGC,CDK
CDK6,Q00534,"CDK6, CDKN6, Cyclin-dependent kinase 6",CMGC,CDK
CDK7,P50613,"CAK1, CDK7, CDKN7, Cyclin-dependent kinase 7, MO15",CMGC,CDK
CDK8,P49336,"CDK8, Cyclin-dependent kinase 8",CMGC,CDK
CDK9,P50750,"CDC2L4, CDK9, Cyclin-dependent kinase 9, TAK",CMGC,CDK
CDKL1,Q00532,"CDKL1, Cyclin-dependent kinase-like 1",CMGC,CDKL
CDKL2,Q92772,"CDKL2, Cyclin-dependent kinase-like 2",CMGC,CDKL
CDKL3,Q8IVW4,"CDKL3, Cyclin-dependent kinase-like 3, NKIAMRE",CMGC,CDKL
