pubmed_id,kinase_name,doi
10498895,EPHA8,10.1038/sj.onc.1202917
10838079,MAPK14,10.1016/s0014-5793(00)01598-2
11309396,MAPK14,10.1074/jbc.M101818200
11313478,PAK4,10.1128/MCB.21.10.3523-3533.2001
11572780,EPHB2,10.1016/s0092-8674(01)00496-2
11668177,PAK4,10.1074/jbc.M105732200
12068308,BRAF,10.1038/nature00766
12429732,MAPK14,10.1074/jbc.M210918200
14722083,CAMK2A,10.1074/jbc.M313597200
14722083,CAMK2B,10.1074/jbc.M313597200
15035987,BRAF,10.1016/s0092-8674(04)00215-6
15046639,BRAF,10.1186/1477-3163-3-6
15284239,MAPK14,10.1074/jbc.M404595200
15821731,EPHB2,10.1038/ncb1252
15827085,PAK4,10.1242/jcs.02313
16426859,EPHA2,10.1016/j.pep.2005.10.031
16439621,BRAF,10.1126/science.1124642
16439621,MAP2K1,10.1126/science.1124642
16977320,EPHA4,10.1038/sj.emboj.7601315
17059827,MAPK14,10.1016/j.jmb.2006.08.043
17088247,MAPK14,10.1074/jbc.M608012200
17088247,MAPK11,10.1074/jbc.M608012200
17088247,MAPK12,10.1074/jbc.M608012200
17088247,MAPK13,10.1074/jbc.M608012200
17241234,MAPK14,10.1111/j.1742-4658.2007.05644.x
17241234,MAPK11,10.1111/j.1742-4658.2007.05644.x
17241234,MAPK12,10.1111/j.1742-4658.2007.05644.x
17241234,MAPK13,10.1111/j.1742-4658.2007.05644.x
17635919,BRAF,10.1074/jbc.M607458200
17803937,FGFR2,10.1016/j.molcel.2007.06.028
18387945,EPHA2,10.1074/jbc.M709934200
19206169,BRAF,10.1002/humu.20955
19524571,BRAF,10.1016/j.febslet.2009.06.010
20637424,PAK1,10.1016/j.str.2010.04.011
20637424,PAK4,10.1016/j.str.2010.04.011
20697431,EPHA3,10.1038/cr.2010.115
20735442,BRAF,10.1111/j.1399-0004.2010.01495.x
21146537,MAPK14,10.1016/j.jmb.2010.11.023
21424530,BRAF,10.1007/s00401-011-0817-z
21454610,FGFR2,10.1074/jbc.M110.213736
22184064,CDK16,10.1128/MCB.06261-11
22242939,EPHA3,10.1021/bi2014079
22510884,BRAF,10.1038/emboj.2012.100
22653441,PAK4,10.1038/embor.2012.75
22689056,PAK4,10.1038/onc.2012.233
22796189,CDK16,10.1016/j.cellsig.2012.06.018
22829656,EPHA3,10.1093/jnci/djs297
22988085,PAK4,10.1073/pnas.1214447109
23079240,MAPK14,10.1016/j.jmb.2012.10.007
23527311,FGFR2,10.1371/journal.pone.0060264
23671282,MAPK14,10.1074/jbc.M113.464511
23844038,BRAF,10.1371/journal.pone.0067583
23871672,FGFR3,10.1016/j.celrep.2013.06.025
23908597,FGFR2,10.1593/neo.121106
23972473,FGFR3,10.1016/j.str.2013.07.017
25155755,BRAF,10.1016/j.ccr.2014.07.007
25437913,BRAF,10.1038/nsmb.2924
25478832,EPHA2,10.1107/S1399004714021944
26205494,CDK16,10.1042/BJ20150486
26343582,BRAF,10.1016/j.ccell.2015.08.001
26607847,PAK4,10.1038/ncomms9681
26744778,BRAF,10.7554/eLife.12814
26814611,BRAF,10.1002/art.39588
26864631,FGFR1,10.1111/gtc.12345
26987986,MAPK14,10.1042/BSR20160020
26992226,FGFR3,10.18632/oncotarget.8132
27345148,BRAF,10.1016/j.cellsig.2016.06.016
28166054,FGFR1,10.7554/eLife.21137
28166054,FGFR2,10.7554/eLife.21137
28947956,BRAF,10.18632/oncotarget.11635
29229647,MAPK14,10.1128/MCB.00409-17
29295922,PAK4,10.1073/pnas.1717437115
29344296,CDK16,10.7150/thno.21963
29432127,EPHA3,10.1074/jbc.RA117.001296
29626472,EPHA2,10.1016/j.bbrc.2018.04.020
29992710,BRAF,10.1002/cbic.201800359
30880224,CDK16,10.1016/j.cellsig.2019.03.012
31601997,FGFR4,10.1038/s41598-019-51217-6
31959966,FGFR2,10.1038/s41589-019-0455-7
32059434,BRAF,10.3390/cancers12020430
32098961,CDK16,10.1038/s41467-020-14812-0
32587248,FES,10.1038/s41467-020-17027-5
32649858,MAPK14,10.1016/j.str.2020.06.007
32649858,MAPK1,10.1016/j.str.2020.06.007
32649858,MAPK7,10.1016/j.str.2020.06.007
32753469,EPHA2,10.1158/1541-7786.MCR-20-0075
32873792,BRAF,10.1038/s41467-020-18123-2
33568647,BRAF,10.1038/s41467-021-21159-7
35883461,BRAF,10.3390/biom12070905
36385162,PAK4,10.1038/s42003-022-04157-3
37527777,EPHB1,10.1016/j.jbc.2023.105115
38252844,EPHA3,10.1021/acs.biochem.3c00674
38252844,EPHB2,10.1021/acs.biochem.3c00674
38272033,CAMK2D,10.1016/j.ajhg.2023.12.016
